event,category,elite_median_score,deviation_vs_norm
Javelin,throw,1203.5,-44.0
Hammer,throw,1208.5,-39.0
High jump,jump,1219.0,-28.5
Triple jump,jump,1220.0,-27.5
Long jump,jump,1224.0,-23.5
Discus,throw,1236.0,-11.5
800 m,middle,1241.5,-6.0
Pole vault,jump,1245.0,-2.5
Shot put,throw,1250.0,2.5
400 m,sprint,1253.0,5.5
"10,000 m",distance,1253.5,6.0
Marathon,distance,1254.0,6.5
200 m,sprint,1258.0,10.5
100 m,sprint,1259.0,11.5
1500 m,middle,1260.0,12.5
5000 m,distance,1272.0,24.5
